Title,Company,Location,Country,Date_Posted,Job_URL
Downstream Corrosion Engineer - Refinery Experience Only,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Downstream-Corrosion-Engineer-Refinery-Experience-Only/855852423/
Data Management Analyst,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Data-Management-Analyst/857087423/
Senior Strategic Performance Advisor,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Senior-Strategic-Performance-Advisor/856748823/
Overhead Power Line Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Overhead-Power-Line-Specialist/857086723/
Automation Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Automation-Engineer/857087023/
Gas Insulated Switchgear Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Gas-Insulated-Switchgear-Specialist/857086923/
Financial Auditor,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Financial-Auditor/857038223/
IT Auditor,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/IT-Auditor/857038423/
Fraud Investigator,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Fraud-Investigator/857038323/
Power Cable Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Power-Cable-Specialist/857087123/
Protection & Control Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Protection-&-Control-Engineer/857086823/
Process Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Process-Engineer/857039823/
Static Mechanical Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Static-Mechanical-Engineer/857039923/
Reservoir Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Reservoir-Engineer/857039423/
Rotating Equipment Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Rotating-Equipment-Engineer/857039523/
Turnaround & Inspection Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Turnaround-&-Inspection-Engineer/857039723/
Plant Corrosion Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Plant-Corrosion-Engineer/857039123/
Drilling Foreman,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Drilling-Foreman/857038723/
Drilling Foreman,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Drilling-Foreman/857038623/
